model,series,x,bf
Meta-Llama-3-8B,self_conditioned_baseline,157,6.750233317322278
Meta-Llama-3-8B,self_conditioned_baseline,158,6.7307326072332
Meta-Llama-3-8B,self_conditioned_baseline,159,6.711113035702658
Meta-Llama-3-8B,self_conditioned_baseline,160,6.69065133329337
Meta-Llama-3-8B,self_conditioned_baseline,161,6.669564338476371
Meta-Llama-3-8B,self_conditioned_baseline,162,6.651442301936957
Meta-Llama-3-8B,self_conditioned_baseline,163,6.632277142164815
Meta-Llama-3-8B,self_conditioned_baseline,164,6.613473068201432
Meta-Llama-3-8B,self_conditioned_baseline,165,6.594038049417507
Meta-Llama-3-8B,self_conditioned_baseline,166,6.5739608810612005
Meta-Llama-3-8B,self_conditioned_baseline,167,6.553012749804529
Meta-Llama-3-8B,self_conditioned_baseline,168,6.532189578137035
Meta-Llama-3-8B,self_conditioned_baseline,169,6.513121006840977
Meta-Llama-3-8B,self_conditioned_baseline,170,6.494112323516093
Meta-Llama-3-8B,self_conditioned_baseline,171,6.474024582832916
Meta-Llama-3-8B,self_conditioned_baseline,172,6.453981275322155
Meta-Llama-3-8B,self_conditioned_baseline,173,6.436255194352299
Meta-Llama-3-8B,self_conditioned_baseline,174,6.418845090977494
Meta-Llama-3-8B,self_conditioned_baseline,175,6.399770662520236
Meta-Llama-3-8B,self_conditioned_baseline,176,6.382254937221557
Meta-Llama-3-8B,self_conditioned_baseline,177,6.363708480350791
Meta-Llama-3-8B,self_conditioned_baseline,178,6.345585645724587
Meta-Llama-3-8B,self_conditioned_baseline,179,6.328780178803186
Meta-Llama-3-8B,self_conditioned_baseline,180,6.311670575172269
Meta-Llama-3-8B,self_conditioned_baseline,181,6.294031606369994
Meta-Llama-3-8B,self_conditioned_baseline,182,6.276843885915789
Meta-Llama-3-8B,self_conditioned_baseline,183,6.259682213600053
Meta-Llama-3-8B,self_conditioned_baseline,184,6.242545504390043
Meta-Llama-3-8B,self_conditioned_baseline,185,6.226271931559567
Meta-Llama-3-8B,self_conditioned_baseline,186,6.210312468613345
Meta-Llama-3-8B,self_conditioned_baseline,187,6.194097353556632
Meta-Llama-3-8B,self_conditioned_baseline,188,6.177090371921281
Meta-Llama-3-8B,self_conditioned_baseline,189,6.161017150610286
Meta-Llama-3-8B,self_conditioned_baseline,190,6.143853296687497
Meta-Llama-3-8B,self_conditioned_baseline,191,6.127103671734959
Meta-Llama-3-8B,self_conditioned_baseline,192,6.110650405168928
Meta-Llama-3-8B,self_conditioned_baseline,193,6.094770067023518
Meta-Llama-3-8B,self_conditioned_baseline,194,6.078098078578684
Meta-Llama-3-8B,self_conditioned_baseline,195,6.062390858881263
Meta-Llama-3-8B,self_conditioned_baseline,196,6.04621915033202
Meta-Llama-3-8B,self_conditioned_baseline,197,6.030856826685742
Meta-Llama-3-8B,self_conditioned_baseline,198,6.015999349594449
Meta-Llama-3-8B,self_conditioned_baseline,199,6.000041219181948
Meta-Llama-3-8B,self_conditioned_baseline,200,5.984517603283434
Meta-Llama-3-8B,self_conditioned_baseline,201,5.968240996842497
Meta-Llama-3-8B,self_conditioned_baseline,202,5.953291766938199
Meta-Llama-3-8B,self_conditioned_baseline,203,5.937656911185389
Meta-Llama-3-8B,self_conditioned_baseline,204,5.922915896652995
Meta-Llama-3-8B,self_conditioned_baseline,205,5.909211927959039
Meta-Llama-3-8B,self_conditioned_baseline,206,5.894913172037136
Meta-Llama-3-8B,self_conditioned_baseline,207,5.881022696855158
Meta-Llama-3-8B,self_conditioned_baseline,208,5.866728168539976
Meta-Llama-3-8B,self_conditioned_baseline,209,5.851783611272281
Meta-Llama-3-8B,self_conditioned_baseline,210,5.8374366829572155
Meta-Llama-3-8B,self_conditioned_baseline,211,5.823456734545935
Meta-Llama-3-8B,self_conditioned_baseline,212,5.808451982091315
Meta-Llama-3-8B,self_conditioned_baseline,213,5.793242417124641
Meta-Llama-3-8B,self_conditioned_baseline,214,5.779152030532958
Meta-Llama-3-8B,self_conditioned_baseline,215,5.764701672543123
Meta-Llama-3-8B,self_conditioned_baseline,216,5.750192864879445
Meta-Llama-3-8B,self_conditioned_baseline,217,5.736444127658143
Meta-Llama-3-8B,self_conditioned_baseline,218,5.722307783021688
Meta-Llama-3-8B,self_conditioned_baseline,219,5.708481542480663
Meta-Llama-3-8B,self_conditioned_baseline,220,5.694748448731474
Meta-Llama-3-8B,self_conditioned_baseline,221,5.681243840514013
Meta-Llama-3-8B,self_conditioned_baseline,222,5.667316753562419
Meta-Llama-3-8B,self_conditioned_baseline,223,5.653306061112857
Meta-Llama-3-8B,self_conditioned_baseline,224,5.639311420272653
Meta-Llama-3-8B,self_conditioned_baseline,225,5.626440684926812
Meta-Llama-3-8B,self_conditioned_baseline,226,5.612781739354358
Meta-Llama-3-8B,self_conditioned_baseline,227,5.599443291071017
Meta-Llama-3-8B,self_conditioned_baseline,228,5.586536664912257
Meta-Llama-3-8B,self_conditioned_baseline,229,5.574001054394215
Meta-Llama-3-8B,self_conditioned_baseline,230,5.560455373945474
Meta-Llama-3-8B,self_conditioned_baseline,231,5.547821659817105
Meta-Llama-3-8B,self_conditioned_baseline,232,5.534886488160172
Meta-Llama-3-8B,self_conditioned_baseline,233,5.522732830128072
Meta-Llama-3-8B,self_conditioned_baseline,234,5.509869332331871
Meta-Llama-3-8B,self_conditioned_baseline,235,5.497803390808958
Meta-Llama-3-8B,self_conditioned_baseline,236,5.484498961292383
Meta-Llama-3-8B,self_conditioned_baseline,237,5.472230352738936
Meta-Llama-3-8B,self_conditioned_baseline,238,5.459912857333509
Meta-Llama-3-8B,self_conditioned_baseline,239,5.447841943070586
Meta-Llama-3-8B,self_conditioned_baseline,240,5.43508481116533
Meta-Llama-3-8B,self_conditioned_baseline,241,5.422749090407573
Meta-Llama-3-8B,self_conditioned_baseline,242,5.4100956002151666
Meta-Llama-3-8B,self_conditioned_baseline,243,5.398789705133168
Meta-Llama-3-8B,self_conditioned_baseline,244,5.386530226473204
Meta-Llama-3-8B,self_conditioned_baseline,245,5.3747222493313265
Meta-Llama-3-8B,self_conditioned_baseline,246,5.362002013014519
Meta-Llama-3-8B,self_conditioned_baseline,247,5.350682222734057
Meta-Llama-3-8B,self_conditioned_baseline,248,5.338865002054805
Meta-Llama-3-8B,self_conditioned_baseline,249,5.326881782802621
Meta-Llama-3-8B,self_conditioned_baseline,250,5.315541608945766
Meta-Llama-3-8B,self_conditioned_baseline,251,5.304058891217831
Meta-Llama-3-8B,self_conditioned_baseline,252,5.292257803485233
Meta-Llama-3-8B,self_conditioned_baseline,253,5.280632299761518
Meta-Llama-3-8B,self_conditioned_baseline,254,5.269365716444195
